"Time
",Wind,Vis,Sky,Temp,Humidity,Pressure,Precipitation
1,NE 12,10,1,69,70,30.06,7
2,NE 10,10,1,71,66,30.04,7
3,NE 14,10,1,71,63,30.05,7
4,NE 9,10,1,72,61,30.06,7
5,E 8,10,0,72,59,30.06,8
6,E 8,10,0,72,59,30.08,8
7,Vrbl 5,10,0,71,59,30.11,8
8,N 9,10,1,70,64,30.13,8
9,W 8,10,1,64,75,30.12,8
10,W 9,10,1,58,90,30.12,7
11,W 9,10,1,58,87,30.1,8
12,W 9,10,1,57,93,30.08,8
13,W 8,10,1,58,90,30.06,7
14,W 7,10,0,60,80,30.05,8
15,NW 7,10,1,62,78,30.06,7
16,NW 6,10,1,64,75,30.08,7
17,N 6,10,1,62,80,30.08,7
18,NW 7,10,0,62,73,30.09,8
19,NW 6,10,1,62,73,30.11,7
20,NW 8,10,1,64,65,30.11,7
21,N 10,10,1,65,63,30.11,7
22,N 9,10,1,65,66,30.1,7
24,N 16 G 23,10,1,66,68,30.09,7
24,NE 16,10,1,66,61,30.07,7
25,N 21 G 28,10,1,68,57,30.07,8
26,NE 18 G 26,10,1,70,57,30.06,7
27,N 22 G 28,10,1,71,53,30.07,7
28,N 24 G 37,10,0,69,61,30.06,0
29,N 22 G 31,10,0,72,50,30.1,8
30,NE 26 G 33,10,0,72,53,30.11,8
