,,,,,,
Time,Temp.,Visibility,Wind Dir,Wind Speed,Precip,Cloud
12:25 AM,72.0 °F,10.0 mi,NE,12.7 mph,0,2
12:48 AM,71.6 °F,10.0 mi,NE,16.1 mph,0,2
12:53 AM,72.0 °F,10.0 mi,NE,15.0 mph,0,2
1:16 AM,71.1 °F,10.0 mi,NE,17.3 mph,0,2
1:30 AM,71.1 °F,10.0 mi,NE,18.4 mph,0,2
1:53 AM,71.1 °F,10.0 mi,NE,15.0 mph,0,2
2:53 AM,71.1 °F,10.0 mi,NE,12.7 mph,0,2
3:02 AM,71.1 °F,10.0 mi,NE,16.1 mph,0,2
3:53 AM,71.1 °F,10.0 mi,NE,16.1 mph,0,2
4:53 AM,71.1 °F,10.0 mi,ENE,15.0 mph,0,2
5:18 AM,71.1 °F,10.0 mi,NE,17.3 mph,0,1
5:32 AM,71.1 °F,10.0 mi,ENE,16.1 mph,0,1
5:53 AM,71.1 °F,10.0 mi,NE,13.8 mph,0,2
6:53 AM,71.1 °F,10.0 mi,NE,15.0 mph,0,1
7:53 AM,72.0 °F,10.0 mi,NE,15.0 mph,1,1
8:12 AM,73.9 °F,10.0 mi,ENE,13.8 mph,1,1
8:19 AM,73.0 °F,10.0 mi,NE,15.0 mph,1,1
8:53 AM,75.0 °F,10.0 mi,NE,13.8 mph,1,0
9:53 AM,75.0 °F,10.0 mi,NE,15.0 mph,1,0
10:53 AM,77.0 °F,10.0 mi,NE,12.7 mph,0,0
11:14 AM,77.0 °F,10.0 mi,ENE,12.7 mph,0,1
11:29 AM,77.0 °F,10.0 mi,NE,13.8 mph,0,2
