"Time
","Wind
","Vis.
(mi.)",Sky,Temp,Humidity,Pressure,Precipitation
1,NE 12,10.00,A Few Clouds,69,70,30.06,Yes
2,NE 10,10.00,A Few Clouds,71,66,30.04,Yes
3,NE 14,10.00,Partly Cloudy,71,63,30.05,Yes
4,NE 9,10.00,Partly Cloudy,72,61,30.06,Yes
5,E 8,10.00,Fair,72,59,30.06,No
6,E 8,10.00,A Few Clouds,72,59,30.08,Yes
7,Vrbl 5,10.00,A Few Clouds,71,59,30.11,Yes
8,N 9,10.00,Fair,70,64,30.13,No
9,W 8,10.00,A Few Clouds,64,75,30.12,Yes
10,W 9,10.00,Overcast,58,90,30.12,Yes
11,W 9,10.00,Mostly Cloudy,58,87,30.10,Yes
12,W 9,10.00,A Few Clouds,57,93,30.08,Yes
13,W 8,10.00,A Few Clouds,58,90,30.06,Yes
14,W 7,10.00,Mostly Cloudy,60,80,30.05,Yes
15,NW 7,10.00,Overcast,62,78,30.06,Yes
16,NW 6,10.00,Overcast,64,75,30.08,Yes
17,N 6,10.00,Overcast,62,80,30.08,Yes
18,NW 7,10.00,Overcast,62,73,30.09,Yes
19,NW 6,10.00,Overcast,62,73,30.11,Yes
20,NW 8,10.00,Overcast,64,65,30.11,Yes
21,N 10,10.00,Overcast,65,63,30.11,Yes
22,N 9,10.00,Overcast,65,66,30.10,Yes
24,N 16 G 23,10.00,Mostly Cloudy,66,68,30.09,Yes
24,NE 16,10.00,Mostly Cloudy,66,61,30.07,Yes
25,N 21 G 28,10.00,Overcast and Breezy,68,57,30.07,Yes
26,NE 18 G 26,10.00,Overcast,70,57,30.06,Yes
27,N 22 G 28,10.00,Mostly Cloudy and Breezy,71,53,30.07,Yes
28,N 24 G 37,10.00,Mostly Cloudy and Breezy,69,61,30.06,Yes
29,N 22 G 31,10.00,Fair and Breezy,72,50,30.10,No
30,NE 26 G 33,10.00,Partly Cloudy and Windy,72,53,30.11,No
